sex,agemos,_hcirc_l,_hcirc_m,_hcirc_s,_weight_l,_weight_m,_weight_s,_height_l,_height_m,_height_s,premature,ageweeks
2,,1.0,37.8,0.03,0.1,4898,0.13,1.0,56.2,0.04,1,47
2,,1.0,38.2,0.03,0.1,5088,0.13,1.0,56.9,0.04,1,48
2,,1.0,38.5,0.03,0.1,5272,0.13,1.0,57.6,0.04,1,49
1,,1.0,21.3,0.06,0.8,610,0.15,1.0,30.2,0.06,1,23
1,,1.0,22.2,0.06,1.0,695,0.17,1.0,31.6,0.06,1,24
1,,1.0,23.2,0.06,1.1,790,0.18,1.0,33.0,0.07,1,25
1,,1.0,24.2,0.06,1.2,895,0.20,1.0,34.4,0.07,1,26
1,,1.0,25.2,0.05,1.3,1014,0.20,1.0,35.8,0.07,1,27
1,,1.0,26.1,0.05,1.4,1148,0.21,1.0,37.1,0.07,1,28
1,,1.0,27.1,0.05,1.4,1303,0.21,1.0,38.5,0.06,1,29
1,,1.0,28.0,0.05,1.4,1480,0.21,1.0,39.9,0.06,1,30
1,,1.0,28.9,0.05,1.3,1682,0.20,1.0,41.3,0.06,1,31
1,,1.0,29.8,0.05,1.2,1903,0.20,1.0,42.7,0.06,1,32
1,,1.0,30.7,0.05,1.1,2136,0.19,1.0,44.1,0.06,1,33
1,,1.0,31.5,0.05,1.0,2374,0.18,1.0,45.4,0.06,1,34
1,,1.0,32.3,0.05,0.9,2610,0.17,1.0,46.6,0.05,1,35
1,,1.0,33.0,0.04,0.8,2838,0.16,1.0,47.7,0.05,1,36
1,,1.0,33.6,0.04,0.7,3052,0.15,1.0,48.8,0.05,1,37
1,,1.0,34.2,0.04,0.6,3258,0.14,1.0,49.8,0.05,1,38
1,,1.0,34.8,0.04,0.6,3463,0.13,1.0,50.7,0.04,1,39
1,,1.0,35.3,0.04,0.5,3675,0.13,1.0,51.6,0.04,1,40
1,,1.0,35.8,0.04,0.4,3899,0.13,1.0,52.5,0.04,1,41
1,,1.0,36.3,0.04,0.4,4132,0.13,1.0,53.4,0.04,1,42
1,,1.0,36.7,0.04,0.4,4371,0.13,1.0,54.3,0.04,1,43
1,,1.0,37.2,0.04,0.3,4612,0.13,1.0,55.1,0.04,1,44
1,,1.0,37.6,0.03,0.3,4850,0.13,1.0,55.9,0.04,1,45
1,,1.0,38.1,0.03,0.3,5082,0.12,1.0,56.7,0.04,1,46
1,,1.0,38.5,0.03,0.3,5307,0.12,1.0,57.5,0.04,1,47
1,,1.0,38.9,0.03,0.2,5524,0.12,1.0,58.2,0.04,1,48
1,,1.0,39.3,0.03,0.2,5733,0.12,1.0,59.0,0.03,1,49
